poi_id,day,hour,busy,source
POI0001,Mo,6,0,gmaps
POI0001,Mo,7,0,gmaps
POI0001,Mo,8,0,gmaps
POI0001,Mo,9,17,gmaps
POI0001,Mo,10,28,gmaps
POI0001,Mo,11,38,gmaps
POI0001,Mo,12,44,gmaps
POI0001,Mo,13,47,gmaps
POI0001,Mo,14,50,gmaps
POI0001,Mo,15,51,gmaps
POI0001,Mo,16,53,gmaps
POI0001,Mo,17,55,gmaps
POI0001,Mo,18,57,gmaps
POI0001,Mo,19,62,gmaps
POI0001,Mo,20,65,gmaps
POI0001,Mo,21,63,gmaps
POI0001,Mo,22,51,gmaps
POI0001,Mo,23,0,gmaps
POI0001,Tu,6,0,gmaps
POI0001,Tu,7,0,gmaps
POI0001,Tu,8,0,gmaps
POI0001,Tu,9,17,gmaps
POI0001,Tu,10,29,gmaps
POI0001,Tu,11,40,gmaps
POI0001,Tu,12,46,gmaps
POI0001,Tu,13,50,gmaps
POI0001,Tu,14,52,gmaps
POI0001,Tu,15,54,gmaps
POI0001,Tu,16,56,gmaps
POI0001,Tu,17,58,gmaps
POI0001,Tu,18,61,gmaps
POI0001,Tu,19,65,gmaps
POI0001,Tu,20,67,gmaps
POI0001,Tu,21,65,gmaps
POI0001,Tu,22,53,gmaps
POI0001,Tu,23,0,gmaps
POI0001,We,6,0,gmaps
POI0001,We,7,0,gmaps
POI0001,We,8,0,gmaps
POI0001,We,9,16,gmaps
POI0001,We,10,26,gmaps
POI0001,We,11,35,gmaps
POI0001,We,12,40,gmaps
POI0001,We,13,43,gmaps
POI0001,We,14,46,gmaps
POI0001,We,15,49,gmaps
POI0001,We,16,51,gmaps
POI0001,We,17,53,gmaps
POI0001,We,18,55,gmaps
POI0001,We,19,60,gmaps
POI0001,We,20,65,gmaps
POI0001,We,21,66,gmaps
POI0001,We,22,56,gmaps
POI0001,We,23,0,gmaps
POI0001,Th,6,0,gmaps
POI0001,Th,7,0,gmaps
POI0001,Th,8,0,gmaps
POI0001,Th,9,17,gmaps
POI0001,Th,10,29,gmaps
POI0001,Th,11,40,gmaps
POI0001,Th,12,46,gmaps
POI0001,Th,13,49,gmaps
POI0001,Th,14,52,gmaps
POI0001,Th,15,55,gmaps
POI0001,Th,16,58,gmaps
POI0001,Th,17,61,gmaps
POI0001,Th,18,65,gmaps
POI0001,Th,19,70,gmaps
POI0001,Th,21,72,gmaps
POI0001,Th,22,59,gmaps
POI0001,Th,23,0,gmaps
POI0001,Fr,6,0,gmaps
POI0001,Fr,7,0,gmaps
POI0001,Fr,8,0,gmaps
POI0001,Fr,9,20,gmaps
POI0001,Fr,10,33,gmaps
POI0001,Fr,11,45,gmaps
POI0001,Fr,12,52,gmaps
POI0001,Fr,13,56,gmaps
POI0001,Fr,14,59,gmaps
POI0001,Fr,15,62,gmaps
POI0001,Fr,16,65,gmaps
POI0001,Fr,17,67,gmaps
POI0001,Fr,18,71,gmaps
POI0001,Fr,19,75,gmaps
POI0001,Fr,20,81,gmaps
POI0001,Fr,21,81,gmaps
POI0001,Fr,22,70,gmaps
POI0001,Fr,23,0,gmaps
POI0001,Sa,6,0,gmaps
POI0001,Sa,7,0,gmaps
POI0001,Sa,8,0,gmaps
POI0001,Sa,9,25,gmaps
POI0001,Sa,10,40,gmaps
POI0001,Sa,11,54,gmaps
POI0001,Sa,12,62,gmaps
POI0001,Sa,13,66,gmaps
POI0001,Sa,14,70,gmaps
POI0001,Sa,15,74,gmaps
POI0001,Sa,16,80,gmaps
POI0001,Sa,17,84,gmaps
POI0001,Sa,18,89,gmaps
POI0001,Sa,19,95,gmaps
POI0001,Sa,20,100,gmaps
POI0001,Sa,21,98,gmaps
POI0001,Sa,22,85,gmaps
POI0001,Sa,23,0,gmaps
POI0001,Su,6,0,gmaps
POI0001,Su,7,0,gmaps
POI0001,Su,8,0,gmaps
POI0001,Su,9,18,gmaps
POI0001,Su,10,31,gmaps
POI0001,Su,11,42,gmaps
POI0001,Su,12,49,gmaps
POI0001,Su,13,53,gmaps
POI0001,Su,14,56,gmaps
POI0001,Su,15,59,gmaps
POI0001,Su,16,61,gmaps
POI0001,Su,17,63,gmaps
POI0001,Su,18,65,gmaps
POI0001,Su,19,68,gmaps
POI0001,Su,20,71,gmaps
POI0001,Su,21,68,gmaps
POI0001,Su,22,55,gmaps
POI0001,Su,23,0,gmaps
POI0002,Mo,6,0,gmaps
POI0002,Mo,7,0,gmaps
POI0002,Mo,8,0,gmaps
POI0002,Mo,9,30,gmaps
POI0002,Mo,10,47,gmaps
POI0002,Mo,11,63,gmaps
POI0002,Mo,12,77,gmaps
POI0002,Mo,13,85,gmaps
POI0002,Mo,14,87,gmaps
POI0002,Mo,15,84,gmaps
POI0002,Mo,16,74,gmaps
POI0002,Mo,17,58,gmaps
POI0002,Mo,18,0,gmaps
POI0002,Mo,19,0,gmaps
POI0002,Mo,20,0,gmaps
POI0002,Mo,21,0,gmaps
POI0002,Mo,22,0,gmaps
POI0002,Mo,23,0,gmaps
POI0002,We,6,0,gmaps
POI0002,We,7,0,gmaps
POI0002,We,8,0,gmaps
POI0002,We,9,33,gmaps
POI0002,We,10,51,gmaps
POI0002,We,11,68,gmaps
POI0002,We,12,82,gmaps
POI0002,We,13,90,gmaps
POI0002,We,14,91,gmaps
POI0002,We,15,89,gmaps
POI0002,We,16,85,gmaps
POI0002,We,17,80,gmaps
POI0002,We,18,72,gmaps
POI0002,We,19,59,gmaps
POI0002,We,20,43,gmaps
POI0002,We,21,0,gmaps
POI0002,We,22,0,gmaps
