destination_id,date,visitors
BER,2020-01-01,2185961
BER,2020-02-01,2295610
BER,2020-03-01,891456
BER,2020-04-01,151711
BER,2020-05-01,272705
BER,2020-06-01,638923
BER,2020-07-01,1304188
BER,2020-08-01,1588950
BER,2020-09-01,1265962
BER,2020-10-01,890818
BER,2020-11-01,345262
BER,2020-12-01,278271
BER,2021-01-01,273720
BER,2021-02-01,282018
BER,2021-03-01,374013
BER,2021-04-01,343203
BER,2021-05-01,405167
BER,2021-06-01,791715
BER,2021-07-01,1672912
BER,2021-08-01,2311871
BER,2021-09-01,1944486
BER,2021-10-01,2419742
BER,2021-11-01,1754269
BER,2021-12-01,1219577
BER,2022-01-01,855037
BER,2022-02-01,1037881
BER,2022-03-01,1594022
BER,2022-04-01,2333767
BER,2022-05-01,2532203
BER,2022-06-01,2691899
BER,2022-07-01,2956394
BER,2022-08-01,2786416
BER,2022-09-01,2601879
BER,2022-10-01,2735918
BER,2022-11-01,2099351
BER,2022-12-01,2097740
BER,2023-01-01,1628935
BER,2023-02-01,1909040
BER,2023-03-01,2210436
BER,2023-04-01,2581728
BER,2023-05-01,2648334
BER,2023-06-01,2738065
BER,2023-07-01,2953971
BER,2023-08-01,2757882
BER,2023-09-01,2783780
BER,2023-10-01,2710020
BER,2023-11-01,2234733
BER,2023-12-01,2226454
BER,2024-01-01,1700607
BER,2024-02-01,2049751
BER,2024-03-01,2460057
BER,2024-04-01,2534893
BER,2024-05-01,2819739
BER,2024-06-01,2688106
BER,2024-07-01,2950796
BER,2024-08-01,2886857
BER,2024-09-01,2730955
BER,2024-10-01,2837572
BER,2024-11-01,2370269
BER,2024-12-01,2365242
PAR,2020-01-01,5963126
PAR,2020-02-01,5782089
PAR,2020-03-01,2889940
PAR,2020-04-01,285654
PAR,2020-05-01,565132
PAR,2020-06-01,2322522
PAR,2020-07-01,2504124
PAR,2020-08-01,2570643
PAR,2020-09-01,2310388
PAR,2020-10-01,2191782
PAR,2020-11-01,1740562
PAR,2020-12-01,2158418
PAR,2021-01-01,2150644
PAR,2021-02-01,2112619
PAR,2021-03-01,2228516
PAR,2021-04-01,1640447
PAR,2021-05-01,3212056
PAR,2021-06-01,4570950
PAR,2021-07-01,4182984
PAR,2021-08-01,4215289
PAR,2021-09-01,4542861
PAR,2021-10-01,5818379
PAR,2021-11-01,5187225
PAR,2021-12-01,5170605
PAR,2022-01-01,3433881
PAR,2022-02-01,4184232
PAR,2022-03-01,5732509
PAR,2022-04-01,6957841
PAR,2022-05-01,7217581
PAR,2022-06-01,7740561
PAR,2022-07-01,8481551
PAR,2022-08-01,7731288
PAR,2022-09-01,7347408
PAR,2022-10-01,8030756
PAR,2022-11-01,6446499
PAR,2022-12-01,7047346
PAR,2023-01-01,6013946
PAR,2023-02-01,5648548
PAR,2023-03-01,6624891
PAR,2023-04-01,7599702
PAR,2023-05-01,7720268
PAR,2023-06-01,8162048
PAR,2023-07-01,8214174
PAR,2023-08-01,7626367
PAR,2023-09-01,7247857
PAR,2023-10-01,7389088
PAR,2023-11-01,6314603
PAR,2023-12-01,6601179
PAR,2024-01-01,5739472
PAR,2024-02-01,5601526
PAR,2024-03-01,7001192
PAR,2024-04-01,6972629
PAR,2024-05-01,7650981
PAR,2024-06-01,7223840
PAR,2024-07-01,7144002
PAR,2024-08-01,7400789
PAR,2024-09-01,7295842
PAR,2024-10-01,7841594
PAR,2024-11-01,6701710
PAR,2024-12-01,7105851
PAR,2025-01-01,6137439
PAR,2025-02-01,5787406
PAR,2025-03-01,6871161
PAR,2025-04-01,8053270
PAR,2025-05-01,8142658
PAR,2025-06-01,8362510
PAR,2025-07-01,8616368
PAR,2025-08-01,8086093
PAR,2025-09-01,7671530
PAR,2025-10-01,8204574
PAR,2025-11-01,6872968
PAR,2025-12-01,7566559
