poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour
POI0001,IST,Barbaros Hayrettin Türbesi,history,41.041923,29.006836,60,0,4.2,"Barbaros Hayrettin Türbesi is a türbe in Turkey, in Istanbul.",8,19
POI0002,IST,Yılanlı Sütun,landmark,41.005665,28.97511,60,1,4.4,"Yılanlı Sütun is a victory column in Istanbul, Turkey, from Delphi.",8,20
POI0003,IST,Koca Sinan Paşa Külliyesi,religion,41.008873,28.9691,30,0,4.1,"Koca Sinan Paşa Külliyesi is a madrasa in Fatih District, in Istanbul.",7,19
POI0004,IST,Çinili Köşk,museum,41.012022,28.981238,120,1,4.3,"Çinili Köşk is a museum building in Fatih, Istanbul.",9,19
POI0005,IST,Kapalı Çarşı,food,41.010967,28.968253,60,1,4.5,"Kapalı Çarşı is a bazaar in Istanbul, Turkey.",9,19
POI0006,IST,Yıldız Parkı,nature,41.048307,29.016889,90,0,4.3,"Yıldız Parkı is a city park in İstanbul, Turkey.",8,22
POI0007,IST,Caddebostan Plajı,beach,40.963972,29.057689,150,0,4.0,A popular beach in Istanbul.,0,24
POI0008,IST,Baba Sahne,culture,40.98733,29.027924,90,1,4.0,A cultural venue in Istanbul.,9,20
POI0009,IST,Bigudi,nightlife,41.036143,28.980608,120,1,4.0,"Bigudi is a Queer nightclub and bar in Istanbul, Turkey (2016–now).",18,2
POI0010,IST,Atlas Pasajı,shopping,41.034113,28.979214,60,1,4.1,"Atlas Pasajı is a mall in Istanbul, Turkey.",10,20
POI0011,IST,Cumhuriyet Anıtı,history,41.036999,28.985118,60,0,4.4,"Cumhuriyet Anıtı is a monument in İstanbul, Turkey.",8,19
POI0012,IST,Belgrad Kapı,landmark,40.99983,28.920538,60,1,4.1,Belgrad Kapı is an Istanbul city gate.,8,20
POI0013,IST,Panayia Belgradu Kilisesi,religion,41.000113,28.921979,30,0,4.1,"Panayia Belgradu Kilisesi is a church building in İstanbul, Turkey.",7,19
POI0014,IST,İstanbul Arkeoloji Müzesi,museum,41.011643,28.981372,120,1,4.0,"İstanbul Arkeoloji Müzesi is a museum building in Istanbul, Turkey.",9,19
POI0015,IST,Mısır Çarşısı,food,41.016463,28.971098,60,1,4.4,"Mısır Çarşısı is a food market in Istanbul, Turkey.",8,19
POI0016,IST,Alfred Heilbronn Botanik Bahçesi,nature,41.018313,28.963871,90,0,4.1,A green space in Istanbul.,0,24
POI0017,IST,Caddebostan Plajı 2,beach,40.967229,29.052837,150,0,4.0,A popular beach in Istanbul.,0,24
POI0018,IST,Atatürk Kültür Merkezi,culture,41.036565,28.988246,90,1,4.3,"Atatürk Kültür Merkezi is a cultural centre in Istanbul, Turkey.",9,20
POI0019,IST,Summit Bar & Terrace,nightlife,41.047294,29.009728,120,1,4.0,Summit Bar & Terrace is a Rooftop bar located within Conrad Istanbul Bosphorus..,12,1
POI0020,IST,Büyük Beşiktaş Çarşısı,shopping,41.042708,29.005227,60,1,4.1,A popular shopping spot in Istanbul.,10,20
POI0021,IST,Atatürk Anıtı,history,40.991581,29.022664,60,0,4.0,"Atatürk Anıtı is a monument in Kadıköy, İstanbul, Asian Turkey.",8,19
POI0022,IST,Hatice Turhan Sultan Türbesi,landmark,41.016202,28.971905,60,1,4.5,"Hatice Turhan Sultan Türbesi is a sixth Valide Sultan of the Ottoman Empire from 1648 to 1683, in Istanbul.",8,20
POI0023,IST,Surp Kevork Kilisesi,religion,41.001865,28.933147,30,0,4.3,"Surp Kevork Kilisesi is an Armenian church in Fatih, Istanbul.",7,19
POI0024,IST,Aya İrini Kilisesi,museum,41.009829,28.980948,120,1,4.5,"Aya İrini Kilisesi is a Byzantine church building in Istanbul, Turkey now a hall and museum.",9,18
POI0025,IST,Arasta Çarşısı,food,41.004999,28.977755,60,1,4.0,Arasta Çarşısı is a Bazaar in Istanbul.,10,23
POI0026,IST,Taksim Gezi Parkı,nature,41.038855,28.986903,90,0,4.4,"Taksim Gezi Parkı is an urban park in Taksim Square, Beyoğlu district, Istanbul, Turkey.",0,24
POI0027,IST,Oyun Atölyesi,culture,40.986326,29.025773,90,1,4.0,A cultural venue in Istanbul.,9,20
POI0028,IST,Peyote,nightlife,41.035131,28.977286,120,1,4.0,A lively nightlife spot in Istanbul.,18,2
POI0029,IST,İstanbul Cevahir Alışveriş ve Eğlence Merkezi,shopping,41.062576,28.992856,60,1,4.3,"İstanbul Cevahir Alışveriş ve Eğlence Merkezi is a shopping mall, in Istanbul.",10,22
POI0030,IST,2. Abdülhamit Anıtı,history,41.001769,29.007116,60,0,4.1,"2. Abdülhamit Anıtı is a breakwater in Haydarpaşa, İstanbul.",8,19
POI0031,IST,Milyon Taşı,landmark,41.008067,28.978018,60,1,4.4,"Milyon Taşı is a Byzantine mile-marker monument in Constantinople, in Istanbul.",8,20
POI0032,IST,Ayasofya,religion,41.008511,28.979998,30,0,4.7,"Ayasofya is a mosque, museum, and former church in Istanbul, Turkey.",9,19
