stage,n_days,quota_exponent,museum_phrase,landmark_phrase,religion_phrase,total_reachable,iconic_reachable,reachable_culture,reachable_food,reachable_history,reachable_landmark,reachable_museum,reachable_nature,reachable_nightlife,reachable_religion,reachable_shopping,categories_below_baseline,losses
1,3,1.0,museums,landmarks,church buildings and places of worship,403,24,57,47,55,23,46,75,41,30,29,0,-
1,3,1.0,museums,landmark sights,church buildings and places of worship,407,24,56,47,55,33,44,75,41,28,28,4,culture -1; museum -2; religion -2; shopping -1
1,3,1.0,museums,landmark monuments,church buildings and places of worship,407,24,56,47,55,35,46,75,41,25,27,3,culture -1; religion -5; shopping -2
1,3,1.0,museums,landmarks and landmark monuments,church buildings and places of worship,405,24,57,47,55,36,42,75,41,26,26,3,museum -4; religion -4; shopping -3
1,3,1.0,museum collections,landmarks,church buildings and places of worship,413,24,56,47,55,23,62,75,41,26,28,3,culture -1; religion -4; shopping -1
1,3,1.0,museum collections,landmark sights,church buildings and places of worship,415,24,56,47,55,28,61,75,41,23,29,2,culture -1; religion -7
1,3,1.0,museum collections,landmark monuments,church buildings and places of worship,413,24,56,47,55,28,59,75,41,25,27,3,culture -1; religion -5; shopping -2
1,3,1.0,museum collections,landmarks and landmark monuments,church buildings and places of worship,418,24,56,47,55,33,60,75,41,24,27,3,culture -1; religion -6; shopping -2
1,3,1.0,museum exhibitions,landmarks,church buildings and places of worship,410,24,56,47,55,21,63,75,41,24,28,4,culture -1; landmark -2; religion -6; shopping -1
1,3,1.0,museum exhibitions,landmark sights,church buildings and places of worship,413,24,56,47,55,27,61,75,41,23,28,3,culture -1; religion -7; shopping -1
1,3,1.0,museum exhibitions,landmark monuments,church buildings and places of worship,411,24,56,47,55,26,61,75,41,23,27,3,culture -1; religion -7; shopping -2
1,3,1.0,museum exhibitions,landmarks and landmark monuments,church buildings and places of worship,414,24,56,47,55,30,61,75,41,22,27,3,culture -1; religion -8; shopping -2
1,3,1.0,museums and museum collections,landmarks,church buildings and places of worship,414,24,56,47,55,22,66,75,41,24,28,4,culture -1; landmark -1; religion -6; shopping -1
1,3,1.0,museums and museum collections,landmark sights,church buildings and places of worship,419,24,56,47,55,28,66,75,41,23,28,3,culture -1; religion -7; shopping -1
1,3,1.0,museums and museum collections,landmark monuments,church buildings and places of worship,418,24,56,47,55,29,64,75,41,23,28,3,culture -1; religion -7; shopping -1
1,3,1.0,museums and museum collections,landmarks and landmark monuments,church buildings and places of worship,412,24,56,47,55,30,59,75,41,21,28,3,culture -1; religion -9; shopping -1
1,3,1.0,museum art collections,landmarks,church buildings and places of worship,410,24,56,47,55,17,67,75,41,24,28,4,culture -1; landmark -6; religion -6; shopping -1
1,3,1.0,museum art collections,landmark sights,church buildings and places of worship,418,24,56,47,55,25,67,75,41,24,28,3,culture -1; religion -6; shopping -1
1,3,1.0,museum art collections,landmark monuments,church buildings and places of worship,418,24,56,47,55,27,67,75,41,24,26,3,culture -1; religion -6; shopping -3
1,3,1.0,museum art collections,landmarks and landmark monuments,church buildings and places of worship,416,24,56,47,55,29,65,75,41,22,26,3,culture -1; religion -8; shopping -3
1,3,0.5,museums,landmarks,church buildings and places of worship,408,24,59,46,56,22,46,74,41,36,28,4,food -1; landmark -1; nature -1; shopping -1
1,3,0.5,museums,landmark sights,church buildings and places of worship,410,24,58,46,56,27,45,74,41,35,28,4,food -1; museum -1; nature -1; shopping -1
1,3,0.5,museums,landmark monuments,church buildings and places of worship,411,24,58,46,56,31,44,74,41,34,27,4,food -1; museum -2; nature -1; shopping -2
1,3,0.5,museums,landmarks and landmark monuments,church buildings and places of worship,410,24,58,46,56,35,42,74,41,32,26,4,food -1; museum -4; nature -1; shopping -3
1,3,0.5,museum collections,landmarks,church buildings and places of worship,416,24,58,46,56,20,60,74,41,33,28,4,food -1; landmark -3; nature -1; shopping -1
1,3,0.5,museum collections,landmark sights,church buildings and places of worship,420,24,58,46,56,27,60,74,41,30,28,3,food -1; nature -1; shopping -1
1,3,0.5,museum collections,landmark monuments,church buildings and places of worship,420,24,58,46,56,29,59,74,41,31,26,3,food -1; nature -1; shopping -3
1,3,0.5,museum collections,landmarks and landmark monuments,church buildings and places of worship,419,24,58,46,56,29,58,74,41,31,26,3,food -1; nature -1; shopping -3
1,3,0.5,museum exhibitions,landmarks,church buildings and places of worship,418,24,58,46,56,20,64,74,41,31,28,4,food -1; landmark -3; nature -1; shopping -1
1,3,0.5,museum exhibitions,landmark sights,church buildings and places of worship,420,24,58,46,56,26,61,74,41,30,28,3,food -1; nature -1; shopping -1
1,3,0.5,museum exhibitions,landmark monuments,church buildings and places of worship,416,24,58,46,56,25,60,74,41,30,26,3,food -1; nature -1; shopping -3
1,3,0.5,museum exhibitions,landmarks and landmark monuments,church buildings and places of worship,417,24,58,46,56,28,60,74,41,28,26,4,food -1; nature -1; religion -2; shopping -3
1,3,0.5,museums and museum collections,landmarks,church buildings and places of worship,417,24,58,46,56,18,64,74,41,32,28,4,food -1; landmark -5; nature -1; shopping -1
1,3,0.5,museums and museum collections,landmark sights,church buildings and places of worship,422,24,58,46,56,25,64,74,41,30,28,3,food -1; nature -1; shopping -1
1,3,0.5,museums and museum collections,landmark monuments,church buildings and places of worship,421,24,58,46,56,26,63,74,41,31,26,3,food -1; nature -1; shopping -3
1,3,0.5,museums and museum collections,landmarks and landmark monuments,church buildings and places of worship,415,24,58,46,56,28,58,74,41,26,28,4,food -1; nature -1; religion -4; shopping -1
1,3,0.5,museum art collections,landmarks,church buildings and places of worship,412,24,58,46,56,15,65,74,41,30,27,4,food -1; landmark -8; nature -1; shopping -2
