destination_id,serves_max_min,reachable_max_min,chains,admitted_chains,invalid_chain_rate,pois_reached,catalogue,share_of_catalogue,recommended_precision,recommended_recall,raw_expansion_band
BER,10.0,5.0,33,180,0.817,23,283,0.081,0.348,0.043,False
BER,10.0,10.0,184,775,0.763,35,283,0.124,0.543,0.101,False
BER,10.0,15.0,340,1381,0.754,51,283,0.18,0.588,0.16,False
BER,10.0,20.0,513,2061,0.751,70,283,0.247,0.6,0.223,False
BER,15.0,5.0,38,201,0.811,30,283,0.106,0.467,0.074,False
BER,15.0,10.0,224,926,0.758,50,283,0.177,0.62,0.165,False
BER,15.0,15.0,505,1952,0.741,63,283,0.223,0.619,0.207,False
BER,15.0,20.0,810,3114,0.74,84,283,0.297,0.631,0.282,False
BER,20.0,5.0,39,215,0.819,32,283,0.113,0.438,0.074,False
BER,20.0,10.0,237,1011,0.766,57,283,0.201,0.596,0.181,False
BER,20.0,15.0,539,2256,0.761,70,283,0.247,0.629,0.234,False
BER,20.0,20.0,974,4076,0.761,88,283,0.311,0.636,0.298,False
BER,25.0,5.0,39,220,0.823,32,283,0.113,0.438,0.074,False
BER,25.0,10.0,253,1094,0.769,75,283,0.265,0.627,0.25,False
BER,25.0,15.0,600,2506,0.761,89,283,0.314,0.64,0.303,False
BER,25.0,20.0,1200,4863,0.753,105,283,0.371,0.648,0.362,False
PAR,10.0,5.0,28,273,0.897,23,371,0.062,0.478,0.05,False
PAR,10.0,10.0,226,1527,0.852,68,371,0.183,0.588,0.181,False
PAR,10.0,15.0,711,4371,0.837,96,371,0.259,0.604,0.262,False
PAR,10.0,20.0,1114,7233,0.846,113,371,0.305,0.611,0.312,False
PAR,15.0,5.0,53,362,0.854,52,371,0.14,0.615,0.145,False
PAR,15.0,10.0,397,2221,0.821,105,371,0.283,0.629,0.299,False
PAR,15.0,15.0,1423,7273,0.804,134,371,0.361,0.642,0.389,False
PAR,15.0,20.0,2536,13336,0.81,148,371,0.399,0.649,0.434,False
PAR,20.0,5.0,62,409,0.848,69,371,0.186,0.58,0.181,False
PAR,20.0,10.0,470,2573,0.817,139,371,0.375,0.626,0.394,False
PAR,20.0,15.0,1760,8719,0.798,159,371,0.429,0.642,0.462,True
PAR,20.0,20.0,3472,17118,0.797,166,371,0.447,0.633,0.475,True
PAR,25.0,5.0,69,431,0.84,80,371,0.216,0.613,0.222,False
PAR,25.0,10.0,523,2719,0.808,158,371,0.426,0.658,0.471,True
PAR,25.0,15.0,1963,9266,0.788,184,371,0.496,0.647,0.538,True
PAR,25.0,20.0,4109,18703,0.78,191,371,0.515,0.644,0.557,True
