reachable_max_min,chain_weight,kn2_worst,kn2_band,top8_Beach & Relax,top8_Budget Backpacker,top8_Culture Enthusiast,top8_Family Traveler,top8_Luxury Traveler,top8_Nature & Adventure,top8_Nightlife Seeker,share_PAR,share_BER,pois_PAR,pois_BER,chain_recall_fusion,chain_recall_hybrid,chain_recall_standard,chain_recall_ratio
10.0,0.02,4,in band,4,2,3,4,4,1,3,0.283,0.177,105,50,0.3333,0.0417,0.0,7.99
10.0,0.05,4,in band,4,2,3,4,4,1,3,0.283,0.177,105,50,0.3333,0.0417,0.0,7.99
10.0,0.1,4,in band,4,3,3,4,4,1,3,0.283,0.177,105,50,0.3333,0.0417,0.0,7.99
10.0,0.15,4,in band,4,3,4,4,4,1,3,0.283,0.177,105,50,0.3333,0.0417,0.0,7.99
10.0,0.25,5,dominates,5,3,4,5,5,1,3,0.283,0.177,105,50,0.3333,0.0417,0.0,7.99
10.0,0.4,7,dominates,7,3,5,5,5,1,3,0.283,0.177,105,50,0.3333,0.0417,0.0,7.99
15.0,0.02,5,dominates,4,3,4,4,5,2,3,0.361,0.223,134,63,0.375,0.0625,0.0,6.0
15.0,0.05,5,dominates,4,4,4,4,5,2,3,0.361,0.223,134,63,0.375,0.0625,0.0,6.0
15.0,0.1,5,dominates,4,4,4,4,5,2,3,0.361,0.223,134,63,0.375,0.0625,0.0,6.0
15.0,0.15,5,dominates,4,4,4,4,5,2,3,0.361,0.223,134,63,0.375,0.0625,0.0,6.0
15.0,0.25,6,dominates,5,4,5,5,6,2,3,0.361,0.223,134,63,0.375,0.0625,0.0,6.0
15.0,0.4,6,dominates,6,4,5,6,6,2,3,0.361,0.223,134,63,0.375,0.0625,0.0,6.0
