city,archetype,budget_hours,day_start_hour,arm,crowd_cost_m,stops,stops_per_day,km,km_per_stop,known_stops,exposure,typical,hour_gap,solve_seconds
PAR,Culture Enthusiast,12,9.0,baseline,,19,6.333333333333333,19.96,1.051,12,50.9,58.3,-7.4,1.25
PAR,Culture Enthusiast,12,9.0,hour_aware_0,0.0,19,6.333333333333333,19.96,1.051,12,50.9,58.3,-7.4,1.85
PAR,Culture Enthusiast,12,9.0,hour_aware_1000,1000.0,19,6.333333333333333,16.6,0.874,14,55.4,59.0,-3.7,1.56
PAR,Culture Enthusiast,12,9.0,hour_aware_2000,2000.0,19,6.333333333333333,16.59,0.873,13,56.9,57.7,-0.7,1.96
PAR,Culture Enthusiast,12,9.0,hour_aware_4000,4000.0,18,6.0,16.8,0.933,13,57.9,57.9,0.0,1.55
PAR,Culture Enthusiast,12,9.0,hour_aware_8000,8000.0,19,6.333333333333333,19.5,1.026,11,55.0,58.7,-3.7,1.92
PAR,Culture Enthusiast,12,9.0,hour_aware_16000,16000.0,10,3.3333333333333335,10.64,1.064,9,42.7,52.5,-9.8,1.03
PAR,Culture Enthusiast,15,9.0,baseline,,21,7.0,22.83,1.087,17,69.5,59.0,10.5,1.33
PAR,Culture Enthusiast,15,9.0,hour_aware_0,0.0,22,7.333333333333333,24.02,1.092,16,55.7,59.2,-3.5,1.46
PAR,Culture Enthusiast,15,9.0,hour_aware_1000,1000.0,22,7.333333333333333,23.57,1.071,16,53.7,57.9,-4.2,1.76
PAR,Culture Enthusiast,15,9.0,hour_aware_2000,2000.0,22,7.333333333333333,24.86,1.13,16,63.4,58.9,4.5,1.99
PAR,Culture Enthusiast,15,9.0,hour_aware_4000,4000.0,22,7.333333333333333,22.07,1.003,17,60.8,58.5,2.2,2.04
PAR,Culture Enthusiast,15,9.0,hour_aware_8000,8000.0,22,7.333333333333333,22.61,1.028,17,57.8,58.5,-0.7,1.82
PAR,Culture Enthusiast,15,9.0,hour_aware_16000,16000.0,9,3.0,8.72,0.969,8,49.0,52.8,-3.8,1.22
PAR,Culture Enthusiast,18,9.0,baseline,,22,7.333333333333333,25.77,1.171,15,60.2,59.4,0.8,1.57
PAR,Culture Enthusiast,18,9.0,hour_aware_0,0.0,23,7.666666666666667,25.35,1.102,14,54.0,59.4,-5.4,1.83
PAR,Culture Enthusiast,18,9.0,hour_aware_1000,1000.0,22,7.333333333333333,23.84,1.084,16,60.9,58.2,2.7,1.97
PAR,Culture Enthusiast,18,9.0,hour_aware_2000,2000.0,23,7.666666666666667,28.68,1.247,18,60.8,58.7,2.1,2.13
PAR,Culture Enthusiast,18,9.0,hour_aware_4000,4000.0,23,7.666666666666667,26.77,1.164,16,56.6,59.4,-2.8,2.07
PAR,Culture Enthusiast,18,9.0,hour_aware_8000,8000.0,21,7.0,19.86,0.946,16,62.0,57.6,4.4,2.0
PAR,Culture Enthusiast,18,9.0,hour_aware_16000,16000.0,9,3.0,8.66,0.962,8,54.2,52.8,1.5,1.06
PAR,Nightlife Seeker,12,15.0,baseline,,15,5.0,12.5,0.833,9,75.9,44.3,31.5,0.6
PAR,Nightlife Seeker,12,15.0,hour_aware_0,0.0,15,5.0,12.68,0.845,9,61.9,49.9,12.0,0.71
PAR,Nightlife Seeker,12,15.0,hour_aware_1000,1000.0,15,5.0,12.04,0.803,8,58.1,43.2,14.9,0.82
PAR,Nightlife Seeker,12,15.0,hour_aware_2000,2000.0,15,5.0,10.54,0.703,9,64.8,45.6,19.2,0.84
PAR,Nightlife Seeker,12,15.0,hour_aware_4000,4000.0,15,5.0,14.68,0.979,8,59.6,44.3,15.3,0.88
PAR,Nightlife Seeker,12,15.0,hour_aware_8000,8000.0,15,5.0,13.3,0.887,8,63.6,44.1,19.6,0.74
PAR,Nightlife Seeker,12,15.0,hour_aware_16000,16000.0,15,5.0,12.38,0.825,8,51.6,43.5,8.1,0.7
PAR,Nightlife Seeker,15,15.0,baseline,,18,6.0,12.12,0.673,11,78.2,46.8,31.4,1.08
PAR,Nightlife Seeker,15,15.0,hour_aware_0,0.0,18,6.0,12.12,0.673,11,78.2,46.8,31.4,1.16
PAR,Nightlife Seeker,15,15.0,hour_aware_1000,1000.0,18,6.0,12.46,0.692,9,70.8,46.4,24.4,1.07
PAR,Nightlife Seeker,15,15.0,hour_aware_2000,2000.0,18,6.0,14.05,0.781,9,70.8,45.6,25.2,0.94
PAR,Nightlife Seeker,15,15.0,hour_aware_4000,4000.0,18,6.0,15.37,0.854,10,67.5,48.5,19.0,1.3
PAR,Nightlife Seeker,15,15.0,hour_aware_8000,8000.0,18,6.0,13.75,0.764,9,71.4,44.7,26.8,1.13
PAR,Nightlife Seeker,15,15.0,hour_aware_16000,16000.0,17,5.666666666666667,13.54,0.796,8,69.2,43.9,25.3,0.81
PAR,Nightlife Seeker,18,15.0,baseline,,18,6.0,12.12,0.673,11,78.2,46.8,31.4,1.08
PAR,Nightlife Seeker,18,15.0,hour_aware_0,0.0,18,6.0,12.12,0.673,11,78.2,46.8,31.4,1.17
PAR,Nightlife Seeker,18,15.0,hour_aware_1000,1000.0,18,6.0,12.46,0.692,9,70.8,46.4,24.4,1.1
PAR,Nightlife Seeker,18,15.0,hour_aware_2000,2000.0,18,6.0,14.05,0.781,9,70.8,45.6,25.2,0.95
PAR,Nightlife Seeker,18,15.0,hour_aware_4000,4000.0,18,6.0,15.37,0.854,10,67.5,48.5,19.0,1.32
PAR,Nightlife Seeker,18,15.0,hour_aware_8000,8000.0,18,6.0,13.75,0.764,9,71.4,44.7,26.8,1.13
PAR,Nightlife Seeker,18,15.0,hour_aware_16000,16000.0,17,5.666666666666667,13.54,0.796,8,69.2,43.9,25.3,0.81
PAR,Nature & Adventure,12,7.0,baseline,,18,6.0,21.78,1.21,10,47.1,49.6,-2.5,1.05
PAR,Nature & Adventure,12,7.0,hour_aware_0,0.0,18,6.0,22.37,1.243,10,54.0,49.5,4.5,1.24
PAR,Nature & Adventure,12,7.0,hour_aware_1000,1000.0,18,6.0,24.54,1.363,10,50.1,50.7,-0.6,1.1
PAR,Nature & Adventure,12,7.0,hour_aware_2000,2000.0,18,6.0,23.16,1.287,9,54.2,50.9,3.3,0.94
PAR,Nature & Adventure,12,7.0,hour_aware_4000,4000.0,18,6.0,22.08,1.227,10,41.8,48.8,-7.0,1.24
PAR,Nature & Adventure,12,7.0,hour_aware_8000,8000.0,18,6.0,23.86,1.326,10,36.3,47.4,-11.1,0.98
PAR,Nature & Adventure,12,7.0,hour_aware_16000,16000.0,13,4.333333333333333,15.22,1.171,6,40.8,47.5,-6.7,0.73
PAR,Nature & Adventure,15,7.0,baseline,,18,6.0,21.74,1.208,10,56.3,49.8,6.5,1.02
