arm,crowd_cost_m,meal_cost_m,trips,stops_per_day,km_per_stop,known_stops,exposure,typical,hour_gap,sight_gap,meal_gap,meals_per_day,both_sittings,solve_seconds
baseline,,,24,6.71,1.025,273,58.6,47.5,11.1,10.7,12.1,2.0,1.0,1.06
hour_aware_0,0.0,1500.0,24,6.71,1.04,275,51.5,47.9,3.6,8.0,-6.4,2.0,1.0,1.27
hour_aware_1000,1000.0,1500.0,24,6.68,1.054,268,47.5,47.9,-0.4,1.6,-5.3,2.0,1.0,1.33
hour_aware_2000,2000.0,1500.0,24,6.64,1.001,278,49.1,47.3,1.8,4.3,-4.3,2.0,1.0,1.3
hour_aware_4000,4000.0,1500.0,24,6.62,1.028,270,44.3,47.3,-3.1,-2.1,-5.1,2.0,1.0,1.4
hour_aware_8000,8000.0,1500.0,24,6.56,1.004,264,44.3,47.3,-3.0,-2.4,-4.3,2.0,1.0,1.29
hour_aware_16000,16000.0,1500.0,24,4.71,0.803,186,36.4,43.4,-7.0,-7.3,-6.5,2.0,1.0,0.86
meal_0,4000.0,0.0,24,6.67,1.033,266,49.0,47.6,1.4,-1.0,7.1,2.0,1.0,1.38
meal_1000,4000.0,1000.0,24,6.62,1.011,273,47.2,47.4,-0.2,0.7,-2.1,2.0,1.0,1.38
meal_1500,4000.0,1500.0,24,6.62,1.028,270,44.3,47.3,-3.1,-2.1,-5.1,2.0,1.0,1.4
meal_2000,4000.0,2000.0,24,6.58,1.051,265,43.9,47.5,-3.6,-1.1,-9.0,2.0,1.0,1.48
meal_2500,4000.0,2500.0,24,6.6,1.058,269,43.6,47.2,-3.6,-0.6,-10.5,2.0,1.0,1.46
