destination_id,model,mae,rmse
AMS,holt_winters,331545.5,375284.7
AMS,prophet,318242.5,344801.2
BCN,holt_winters,578178.3,651392.8
BCN,prophet,548328.5,603612.1
IST,holt_winters,2136504.1,2343776.2
IST,prophet,2047940.0,2219047.6
LIS,holt_winters,107934.9,121591.1
LIS,prophet,89060.2,120428.5
PAR,holt_winters,428958.4,555903.9
PAR,prophet,627783.9,710569.2
PRG,holt_winters,73821.4,81058.6
PRG,prophet,61128.9,75283.4
ROM,holt_winters,1763187.7,2155099.5
ROM,prophet,3687044.3,3868819.5
VIE,holt_winters,548789.6,736742.8
VIE,prophet,597919.7,688804.8
