destination_id,category,in_catalogue,gold,coverage_pct,below_half_median
BER,food,14,3,21.4,True
PAR,history,30,13,43.3,False
BER,nature,35,16,45.7,False
PAR,nature,41,21,51.2,False
BER,nightlife,17,9,52.9,False
PAR,landmark,60,32,53.3,False
BER,history,28,15,53.6,False
PAR,culture,41,22,53.7,False
PAR,food,47,26,55.3,False
BER,religion,31,18,58.1,False
PAR,religion,53,33,62.3,False
PAR,nightlife,24,15,62.5,False
PAR,shopping,18,12,66.7,False
BER,culture,39,30,76.9,False
BER,museum,51,40,78.4,False
PAR,museum,57,47,82.5,False
BER,shopping,12,10,83.3,False
BER,landmark,56,47,83.9,False
