city,archetype,poi_id,name,category,popularity_score,in_pool,in_shortlist,in_plan
BER,Beach & Relax,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Beach & Relax,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Beach & Relax,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Beach & Relax,POI0403,Führerbunker,history,4.97,False,False,False
BER,Beach & Relax,POI0409,Fernsehturm Berlin,history,4.96,False,False,False
BER,Beach & Relax,POI0408,Berghain,nightlife,4.95,False,False,False
BER,Beach & Relax,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,False,False,False
BER,Beach & Relax,POI0404,Pergamon Museum,museum,4.93,False,False,False
BER,Beach & Relax,POI0420,Berlin Palace,landmark,4.92,False,False,False
BER,Beach & Relax,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Beach & Relax,POI0410,Museum Island,culture,4.91,True,True,True
BER,Beach & Relax,POI0421,Siegessäule,history,4.9,False,False,False
BER,Budget Backpacker,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Budget Backpacker,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Budget Backpacker,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Budget Backpacker,POI0403,Führerbunker,history,4.97,False,False,False
BER,Budget Backpacker,POI0409,Fernsehturm Berlin,history,4.96,False,False,False
BER,Budget Backpacker,POI0408,Berghain,nightlife,4.95,True,True,True
BER,Budget Backpacker,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,False,False,False
BER,Budget Backpacker,POI0404,Pergamon Museum,museum,4.93,False,False,False
BER,Budget Backpacker,POI0420,Berlin Palace,landmark,4.92,False,False,False
BER,Budget Backpacker,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Budget Backpacker,POI0410,Museum Island,culture,4.91,True,True,True
BER,Budget Backpacker,POI0421,Siegessäule,history,4.9,False,False,False
BER,Culture Enthusiast,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Culture Enthusiast,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Culture Enthusiast,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Culture Enthusiast,POI0403,Führerbunker,history,4.97,True,True,True
BER,Culture Enthusiast,POI0409,Fernsehturm Berlin,history,4.96,True,True,True
BER,Culture Enthusiast,POI0408,Berghain,nightlife,4.95,False,False,False
BER,Culture Enthusiast,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,True,True,True
BER,Culture Enthusiast,POI0404,Pergamon Museum,museum,4.93,True,True,False
BER,Culture Enthusiast,POI0420,Berlin Palace,landmark,4.92,True,True,True
BER,Culture Enthusiast,POI0405,Berlin Cathedral,religion,4.92,True,True,True
BER,Culture Enthusiast,POI0410,Museum Island,culture,4.91,True,True,True
BER,Culture Enthusiast,POI0421,Siegessäule,history,4.9,True,True,False
BER,Family Traveler,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Family Traveler,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Family Traveler,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Family Traveler,POI0403,Führerbunker,history,4.97,False,False,False
BER,Family Traveler,POI0409,Fernsehturm Berlin,history,4.96,False,False,False
BER,Family Traveler,POI0408,Berghain,nightlife,4.95,False,False,False
BER,Family Traveler,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,False,False,False
BER,Family Traveler,POI0404,Pergamon Museum,museum,4.93,True,True,False
BER,Family Traveler,POI0420,Berlin Palace,landmark,4.92,True,True,True
BER,Family Traveler,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Family Traveler,POI0410,Museum Island,culture,4.91,True,True,True
BER,Family Traveler,POI0421,Siegessäule,history,4.9,False,False,False
BER,Luxury Traveler,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Luxury Traveler,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Luxury Traveler,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Luxury Traveler,POI0403,Führerbunker,history,4.97,False,False,False
BER,Luxury Traveler,POI0409,Fernsehturm Berlin,history,4.96,False,False,False
BER,Luxury Traveler,POI0408,Berghain,nightlife,4.95,False,False,False
BER,Luxury Traveler,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,False,False,False
BER,Luxury Traveler,POI0404,Pergamon Museum,museum,4.93,True,True,False
BER,Luxury Traveler,POI0420,Berlin Palace,landmark,4.92,True,True,True
BER,Luxury Traveler,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Luxury Traveler,POI0410,Museum Island,culture,4.91,True,True,True
BER,Luxury Traveler,POI0421,Siegessäule,history,4.9,False,False,False
BER,Nature & Adventure,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Nature & Adventure,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Nature & Adventure,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Nature & Adventure,POI0403,Führerbunker,history,4.97,True,True,True
BER,Nature & Adventure,POI0409,Fernsehturm Berlin,history,4.96,True,True,True
BER,Nature & Adventure,POI0408,Berghain,nightlife,4.95,False,False,False
BER,Nature & Adventure,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,True,True,True
BER,Nature & Adventure,POI0404,Pergamon Museum,museum,4.93,False,False,False
BER,Nature & Adventure,POI0420,Berlin Palace,landmark,4.92,False,False,False
BER,Nature & Adventure,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Nature & Adventure,POI0410,Museum Island,culture,4.91,True,True,True
BER,Nature & Adventure,POI0421,Siegessäule,history,4.9,True,True,True
BER,Nightlife Seeker,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Nightlife Seeker,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Nightlife Seeker,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Nightlife Seeker,POI0403,Führerbunker,history,4.97,False,False,False
BER,Nightlife Seeker,POI0409,Fernsehturm Berlin,history,4.96,False,False,False
BER,Nightlife Seeker,POI0408,Berghain,nightlife,4.95,True,True,True
BER,Nightlife Seeker,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,False,False,False
BER,Nightlife Seeker,POI0404,Pergamon Museum,museum,4.93,False,False,False
BER,Nightlife Seeker,POI0420,Berlin Palace,landmark,4.92,False,False,False
BER,Nightlife Seeker,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Nightlife Seeker,POI0410,Museum Island,culture,4.91,True,True,True
