threshold,multiplier,iconic_in_plan,iconic_slots,iconic_in_pool,kept_of_reachable,stops_per_day,km_per_stop,categories_per_day,mean_quality,mean_pref_match,solve_seconds
-,1.0,33,168,87,0.3793,8.071,0.624,3.071,0.7457,0.54,40.9
0.99,1.5,65,168,87,0.7471,7.976,0.763,3.19,0.7833,0.5366,40.3
0.97,1.5,80,168,87,0.9195,8.095,0.755,3.262,0.8126,0.5311,42.2
0.95,1.5,79,168,87,0.908,8.0,0.831,3.286,0.8098,0.5373,42.9
0.99,2.0,66,168,87,0.7586,8.024,0.768,3.19,0.78,0.5366,39.4
0.97,2.0,84,168,87,0.9655,8.048,0.815,3.286,0.8154,0.5264,42.7
0.95,2.0,84,168,87,0.9655,7.976,0.964,3.381,0.8257,0.5297,42.4
0.99,3.0,66,168,87,0.7586,8.024,0.768,3.19,0.78,0.5366,39.5
0.97,3.0,84,168,87,0.9655,8.048,0.814,3.286,0.8146,0.5264,42.2
0.95,3.0,84,168,87,0.9655,7.929,0.983,3.309,0.8297,0.5309,41.3
0.99,5.0,65,168,87,0.7471,7.952,0.762,3.214,0.7832,0.5375,39.7
0.97,5.0,84,168,87,0.9655,8.0,0.782,3.357,0.8023,0.5252,46.3
0.95,5.0,84,168,87,0.9655,7.857,0.907,3.333,0.8301,0.5317,48.8
