exponent,n_days,city,archetype,pool,stops,categories,km_per_stop,active_minutes
0.5,1,PAR,Beach & Relax,24,8,4,1.353,713
0.5,1,PAR,Budget Backpacker,24,8,6,1.518,702
0.5,1,PAR,Culture Enthusiast,24,10,6,1.002,704
0.5,1,PAR,Family Traveler,23,8,5,0.91,697
0.5,1,PAR,Luxury Traveler,24,9,5,1.033,664
0.5,1,PAR,Nature & Adventure,24,8,4,0.978,674
0.5,1,PAR,Nightlife Seeker,24,7,5,1.471,677
0.5,1,BER,Beach & Relax,24,8,4,0.93,669
0.5,1,BER,Budget Backpacker,24,8,4,1.264,675
0.5,1,BER,Culture Enthusiast,24,11,5,0.661,697
0.5,1,BER,Family Traveler,23,9,4,0.727,717
0.5,1,BER,Luxury Traveler,23,9,4,0.671,650
0.5,1,BER,Nature & Adventure,24,8,4,0.951,641
0.5,1,BER,Nightlife Seeker,24,7,3,1.111,644
0.5,3,PAR,Beach & Relax,72,22,6,1.012,2037
0.5,3,PAR,Budget Backpacker,72,24,8,0.933,2099
0.5,3,PAR,Culture Enthusiast,72,29,6,1.033,2109
0.5,3,PAR,Family Traveler,71,24,6,0.877,2138
0.5,3,PAR,Luxury Traveler,71,27,6,0.897,2123
0.5,3,PAR,Nature & Adventure,71,25,6,0.808,2068
0.5,3,PAR,Nightlife Seeker,72,20,5,0.755,2031
0.5,3,BER,Beach & Relax,71,22,4,0.884,1969
0.5,3,BER,Budget Backpacker,71,23,5,0.949,2000
0.5,3,BER,Culture Enthusiast,72,29,6,0.53,2066
0.5,3,BER,Family Traveler,71,24,5,0.625,2000
0.5,3,BER,Luxury Traveler,71,25,5,0.611,2093
0.5,3,BER,Nature & Adventure,71,27,5,0.77,2077
0.5,3,BER,Nightlife Seeker,71,21,4,0.502,2000
0.5,5,PAR,Beach & Relax,119,38,7,0.771,3420
0.5,5,PAR,Budget Backpacker,119,40,8,0.722,3415
0.5,5,PAR,Culture Enthusiast,120,49,7,0.744,3455
0.5,5,PAR,Family Traveler,119,39,6,0.774,3373
0.5,5,PAR,Luxury Traveler,119,43,6,0.759,3493
0.5,5,PAR,Nature & Adventure,119,41,7,0.822,3268
0.5,5,PAR,Nightlife Seeker,119,35,8,0.841,3452
0.5,5,BER,Beach & Relax,119,40,8,0.639,3460
0.5,5,BER,Budget Backpacker,119,39,6,0.75,3360
0.5,5,BER,Culture Enthusiast,120,45,7,0.563,3308
0.5,5,BER,Family Traveler,119,37,5,0.545,3328
0.5,5,BER,Luxury Traveler,119,40,6,0.559,3477
0.5,5,BER,Nature & Adventure,119,42,7,0.843,3442
0.5,5,BER,Nightlife Seeker,119,39,9,0.54,3430
0.6,1,PAR,Beach & Relax,24,8,4,1.353,713
0.6,1,PAR,Budget Backpacker,24,8,6,1.692,720
0.6,1,PAR,Culture Enthusiast,24,10,6,1.002,704
0.6,1,PAR,Family Traveler,23,8,5,0.974,674
0.6,1,PAR,Luxury Traveler,24,9,5,1.033,664
0.6,1,PAR,Nature & Adventure,24,8,4,1.056,682
0.6,1,PAR,Nightlife Seeker,24,6,3,0.918,583
0.6,1,BER,Beach & Relax,24,8,4,0.924,669
0.6,1,BER,Budget Backpacker,24,8,4,1.264,675
0.6,1,BER,Culture Enthusiast,24,11,5,0.661,697
0.6,1,BER,Family Traveler,23,9,4,0.727,717
0.6,1,BER,Luxury Traveler,23,9,4,0.671,650
0.6,1,BER,Nature & Adventure,24,9,4,0.871,705
0.6,1,BER,Nightlife Seeker,24,7,3,1.111,644
0.6,3,PAR,Beach & Relax,72,22,6,1.012,2037
0.6,3,PAR,Budget Backpacker,72,24,8,0.933,2099
0.6,3,PAR,Culture Enthusiast,72,29,6,1.033,2109
0.6,3,PAR,Family Traveler,71,24,6,1.017,2122
0.6,3,PAR,Luxury Traveler,71,27,6,0.897,2123
0.6,3,PAR,Nature & Adventure,71,25,6,0.808,2068
0.6,3,PAR,Nightlife Seeker,72,20,5,0.755,2031
0.6,3,BER,Beach & Relax,71,22,4,0.884,1969
0.6,3,BER,Budget Backpacker,71,22,5,0.967,1933
0.6,3,BER,Culture Enthusiast,72,29,6,0.51,2058
0.6,3,BER,Family Traveler,71,24,5,0.625,2000
0.6,3,BER,Luxury Traveler,71,25,5,0.611,2093
0.6,3,BER,Nature & Adventure,71,27,5,0.77,2077
0.6,3,BER,Nightlife Seeker,71,21,4,0.502,2000
0.6,5,PAR,Beach & Relax,119,38,7,0.741,3405
0.6,5,PAR,Budget Backpacker,119,40,8,0.722,3415
0.6,5,PAR,Culture Enthusiast,120,50,7,0.783,3492
0.6,5,PAR,Family Traveler,119,39,6,0.774,3373
0.6,5,PAR,Luxury Traveler,119,43,6,0.759,3493
0.6,5,PAR,Nature & Adventure,119,41,7,0.822,3268
0.6,5,PAR,Nightlife Seeker,119,35,8,0.841,3452
0.6,5,BER,Beach & Relax,119,40,8,0.639,3460
0.6,5,BER,Budget Backpacker,119,39,6,0.75,3360
0.6,5,BER,Culture Enthusiast,120,45,7,0.563,3308
0.6,5,BER,Family Traveler,119,37,5,0.545,3328
0.6,5,BER,Luxury Traveler,119,40,6,0.559,3477
0.6,5,BER,Nature & Adventure,119,42,7,0.843,3442
0.6,5,BER,Nightlife Seeker,119,39,9,0.54,3430
