exponent,n_days,top_k,total,iconic,iconic_of,cat_culture,cat_food,cat_history,cat_landmark,cat_museum,cat_nature,cat_nightlife,cat_religion,cat_shopping
0.4,1,24,166,22,24,8,25,11,10,18,40,28,13,13
0.4,3,72,427,24,24,58,47,57,27,58,74,41,38,27
0.4,5,120,550,24,24,79,61,58,55,92,76,41,58,30
0.5,1,24,168,21,24,8,24,10,9,20,41,29,13,14
0.5,3,72,424,24,24,57,47,56,27,57,74,41,38,27
0.5,5,120,550,24,24,79,61,58,55,92,76,41,58,30
0.6,1,24,171,22,24,8,24,10,10,20,42,30,13,14
0.6,3,72,426,24,24,57,48,56,27,57,74,41,38,28
0.6,5,120,551,24,24,79,61,58,55,93,76,41,58,30
0.8,1,24,171,21,24,7,23,8,9,20,45,32,13,14
0.8,3,72,425,24,24,56,48,55,27,58,75,41,36,29
0.8,5,120,550,24,24,79,61,58,55,93,76,41,57,30
1.0,1,24,173,20,24,7,21,8,10,22,45,34,12,14
1.0,3,72,421,24,24,55,48,55,28,57,75,41,33,29
1.0,5,120,546,24,24,78,61,58,55,93,76,41,54,30
1.2,1,24,174,20,24,7,20,6,10,22,48,34,12,15
1.2,3,72,420,24,24,54,49,55,28,58,75,41,31,29
1.2,5,120,545,24,24,78,61,58,55,93,76,41,53,30
1.5,1,24,172,20,24,7,17,5,9,22,50,36,11,15
1.5,3,72,420,24,24,54,49,55,28,60,75,41,29,29
1.5,5,120,546,24,24,78,61,58,56,94,76,41,52,30
2.0,1,24,174,20,24,7,17,4,9,23,51,37,11,15
2.0,3,72,420,24,24,53,50,55,28,64,76,41,24,29
2.0,5,120,544,24,24,78,61,58,56,95,76,41,49,30
