n_days,top_k,category,in_catalogue,reachable,reachable_pct
1,24,culture,80,10,12.5
1,24,food,61,19,31.1
1,24,history,58,8,13.8
1,24,landmark,116,9,7.8
1,24,museum,108,19,17.6
1,24,nature,76,47,61.8
1,24,nightlife,41,35,85.4
1,24,religion,84,10,11.9
1,24,shopping,30,16,53.3
3,72,culture,80,57,71.2
3,72,food,61,47,77.0
3,72,history,58,55,94.8
3,72,landmark,116,23,19.8
3,72,museum,108,46,42.6
3,72,nature,76,75,98.7
3,72,nightlife,41,41,100.0
3,72,religion,84,30,35.7
3,72,shopping,30,29,96.7
5,120,culture,80,78,97.5
5,120,food,61,61,100.0
5,120,history,58,58,100.0
5,120,landmark,116,52,44.8
5,120,museum,108,80,74.1
5,120,nature,76,76,100.0
5,120,nightlife,41,41,100.0
5,120,religion,84,56,66.7
5,120,shopping,30,30,100.0
