variant,channel,matrix_mean_abs_delta,matrix_max_abs_delta,matrix_top1_agreement,archetype_agreement,stop_overlap,preference_match,plans
shipped,both,0.0,0.0,1.0,1.0,1.0,0.5100966214866683,14
reseed/0,both,0.006092034258009406,0.05497234451072987,1.0,1.0,1.0,0.5100966214866683,14
reseed/1,both,0.00468143317402595,0.03351422731474615,1.0,1.0,1.0,0.5100966214866683,14
reseed/2,both,0.0037582011758008314,0.03663398902070595,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.04/0,both,0.0034008741596337163,0.03852003517393765,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.04/1,both,0.002242377681394321,0.02914576578167862,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.04/2,both,0.0029198231392097286,0.026614035773248224,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.16/0,both,0.0075211402439721645,0.10531259407848448,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.16/1,both,0.002540636635003079,0.02663597323162148,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.16/2,both,0.004985206797386709,0.04065900158250402,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.32/0,both,0.010853115488041564,0.1260110699602902,1.0,0.8571428571428571,0.9256137237503698,0.5164769996895807,14
sigma=0.32/1,both,0.013148966926273507,0.11113977359446725,1.0,1.0,1.0,0.5100966214866683,14
sigma=0.32/2,both,0.011677081619736485,0.13033594282267302,1.0,0.5714285714285714,0.7405370323396564,0.5131993328071215,14
centre_jitter=0.05/0,both,0.005141188300705695,0.046633083118451824,1.0,1.0,1.0,0.5100966214866683,14
centre_jitter=0.05/1,both,0.00790300156074369,0.0642581634291816,0.8333333333333334,1.0,1.0,0.5100966214866683,14
centre_jitter=0.05/2,both,0.018957470512205657,0.14990415079592137,0.8333333333333334,1.0,1.0,0.5100966214866683,14
centre_jitter=0.15/0,both,0.04119378482801719,0.34461129736145546,0.6666666666666666,1.0,1.0,0.5100966214866683,14
centre_jitter=0.15/1,both,0.016720826741148585,0.137744968753583,1.0,1.0,1.0,0.5100966214866683,14
centre_jitter=0.15/2,both,0.01766419387115291,0.180180261586871,1.0,1.0,1.0,0.5100966214866683,14
shuffle/0,both,0.25385212437079857,1.172986761171916,0.3333333333333333,0.14285714285714285,0.4314313944762546,0.4692715858094982,14
shuffle/1,both,0.20026790045181714,1.1878876504544846,0.16666666666666666,0.14285714285714285,0.3913905547226387,0.4801611397600379,14
shuffle/2,both,0.17362558060746644,1.242945799618795,0.3333333333333333,0.2857142857142857,0.5352793043600289,0.4484382697236274,14
shuffle[matrix]/0,matrix,0.18634465428699518,1.0821899460488433,0.0,1.0,0.9813664596273293,0.5087965392305024,14
shuffle[matrix]/1,matrix,0.19330294532737877,1.1224902889727393,0.16666666666666666,1.0,1.0,0.5100966214866683,14
shuffle[matrix]/2,matrix,0.2326301880744864,1.2059410876969576,0.16666666666666666,1.0,1.0,0.5100966214866683,14
shuffle[segmenter]/0,segmenter,0.0,0.0,1.0,0.2857142857142857,0.5146554514464295,0.4671910613214954,14
shuffle[segmenter]/1,segmenter,0.0,0.0,1.0,0.14285714285714285,0.47627960318954116,0.4633025733355665,14
shuffle[segmenter]/2,segmenter,0.0,0.0,1.0,0.0,0.3400068266402668,0.4498569154649233,14
