variant,city,traveller,archetype,stops,poi_ids,categories,stop_overlap,preference_match,archetype_agrees
shipped,BER,Culture Enthusiast,Culture Enthusiast,22,POI0555|POI0406|POI0416|POI0566|POI0475|POI0420|POI0687|POI0405|POI0446|POI0443|POI0684|POI0427|POI0409|POI0431|POI0525|POI0401|POI0410|POI0683|POI0411|POI0403|POI0426|POI0547,landmark|landmark|history|food|religion|landmark|food|religion|landmark|religion|food|religion|history|landmark|food|landmark|culture|food|landmark|history|landmark|food,1.0,0.5349971614113802,True
shipped,BER,Beach & Relax,Beach & Relax,16,POI0434|POI0682|POI0410|POI0411|POI0406|POI0566|POI0683|POI0515|POI0425|POI0687|POI0401|POI0505|POI0576|POI0689|POI0690|POI0606,culture|food|culture|landmark|landmark|food|food|culture|nature|food|landmark|nature|nature|food|food|nature,1.0,0.5367921688149271,True
shipped,BER,Budget Backpacker,Budget Backpacker,16,POI0683|POI0410|POI0411|POI0406|POI0566|POI0425|POI0515|POI0682|POI0442|POI0525|POI0401|POI0576|POI0434|POI0681|POI0689|POI0606,food|culture|landmark|landmark|food|nature|culture|food|shopping|food|landmark|nature|culture|food|food|nature,1.0,0.5115150933247812,True
shipped,BER,Luxury Traveler,Luxury Traveler,18,POI0420|POI0566|POI0650|POI0406|POI0411|POI0555|POI0689|POI0404|POI0410|POI0682|POI0681|POI0401|POI0434|POI0446|POI0687|POI0515|POI0683|POI0426,landmark|food|shopping|landmark|landmark|landmark|food|museum|culture|food|food|landmark|culture|landmark|food|culture|food|landmark,1.0,0.577740969540121,True
shipped,BER,Nightlife Seeker,Nightlife Seeker,16,POI0515|POI0687|POI0410|POI0406|POI0411|POI0566|POI0434|POI0681|POI0699|POI0525|POI0401|POI0610|POI0683|POI0691|POI0682|POI0643,culture|food|culture|landmark|landmark|food|culture|food|nightlife|food|landmark|culture|food|nightlife|food|culture,1.0,0.5559618282351866,True
shipped,BER,Nature & Adventure,Nature & Adventure,18,POI0505|POI0403|POI0416|POI0566|POI0687|POI0409|POI0555|POI0411|POI0406|POI0410|POI0689|POI0690|POI0425|POI0586|POI0576|POI0682|POI0681|POI0431,nature|history|history|food|food|history|landmark|landmark|landmark|culture|food|food|nature|nature|nature|food|food|landmark,1.0,0.44327275198694854,True
shipped,BER,Family Traveler,Family Traveler,17,POI0555|POI0411|POI0406|POI0566|POI0420|POI0687|POI0404|POI0410|POI0689|POI0690|POI0401|POI0434|POI0431|POI0526|POI0681|POI0683|POI0426,landmark|landmark|landmark|food|landmark|food|museum|culture|food|food|landmark|culture|landmark|landmark|food|food|landmark,1.0,0.4647473928106396,True
shipped,PAR,Culture Enthusiast,Culture Enthusiast,20,POI0008|POI0030|POI0034|POI0053|POI0051|POI0144|POI0003|POI0180|POI0027|POI0154|POI0011|POI0098|POI0065|POI0020|POI0063|POI0002|POI0024|POI0014|POI0061|POI0009,museum|landmark|food|religion|landmark|food|religion|landmark|religion|religion|religion|food|food|museum|history|museum|food|food|religion|landmark,1.0,0.5026486387261279,True
shipped,PAR,Beach & Relax,Beach & Relax,16,POI0003|POI0064|POI0056|POI0013|POI0034|POI0001|POI0026|POI0080|POI0291|POI0108|POI0006|POI0200|POI0029|POI0024|POI0014|POI0002,religion|nature|food|nature|food|landmark|culture|food|culture|food|nature|nature|nature|food|food|museum,1.0,0.5447339892289593,True
shipped,PAR,Budget Backpacker,Budget Backpacker,17,POI0013|POI0003|POI0200|POI0098|POI0119|POI0068|POI0132|POI0080|POI0026|POI0108|POI0006|POI0156|POI0022|POI0096|POI0024|POI0014|POI0001,nature|religion|nature|food|food|culture|shopping|food|culture|food|nature|shopping|shopping|shopping|food|food|landmark,1.0,0.45138339829111584,True
