top_k,city,archetype,budget_hours,n_sightseeing,n_food,arm,drop_penalty_m,mean_pref_match,mean_quality,categories_per_day,stops,sight_stops,food_stops,km,stops_per_day,sight_per_day,km_per_stop,closed_violations,budget_overruns,days_with_meals,n_days
24,PAR,Culture Enthusiast,12,24,47,baseline,,0.7513,0.8328,2.0,18,13,5,16.52,6.0,4.333333333333333,0.9177777777777778,0,0,2,3
24,PAR,Culture Enthusiast,12,24,47,toptw,1000.0,0.7532,0.8188,1.667,14,8,6,6.0,4.666666666666667,2.6666666666666665,0.42857142857142855,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,scored,1000.0,0.7513,0.8465,2.0,19,13,6,11.49,6.333333333333333,4.333333333333333,0.6047368421052631,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,toptw,2000.0,0.7539,0.811,1.667,19,13,6,11.12,6.333333333333333,4.333333333333333,0.5852631578947369,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,scored,2000.0,0.7513,0.8441,2.0,19,13,6,12.52,6.333333333333333,4.333333333333333,0.6589473684210526,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,toptw,4000.0,0.7539,0.8201,1.667,19,13,6,10.93,6.333333333333333,4.333333333333333,0.5752631578947368,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,scored,4000.0,0.7513,0.8355,2.0,19,13,6,12.41,6.333333333333333,4.333333333333333,0.6531578947368422,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,toptw,8000.0,0.7544,0.8107,2.0,20,14,6,11.4,6.666666666666667,4.666666666666667,0.5700000000000001,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,scored,8000.0,0.7513,0.7782,2.0,19,13,6,17.14,6.333333333333333,4.333333333333333,0.9021052631578947,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,toptw,16000.0,0.7544,0.8107,2.0,20,14,6,11.4,6.666666666666667,4.666666666666667,0.5700000000000001,0,0,3,3
24,PAR,Culture Enthusiast,12,24,47,scored,16000.0,0.7513,0.7656,2.0,19,13,6,22.28,6.333333333333333,4.333333333333333,1.1726315789473685,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,baseline,,0.7568,0.7947,1.667,18,14,4,16.03,6.0,4.666666666666667,0.8905555555555557,0,0,1,3
24,PAR,Culture Enthusiast,15,24,47,toptw,1000.0,0.7532,0.8188,1.667,14,8,6,5.24,4.666666666666667,2.6666666666666665,0.3742857142857143,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,scored,1000.0,0.7513,0.8441,1.667,19,13,6,12.55,6.333333333333333,4.333333333333333,0.6605263157894737,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,toptw,2000.0,0.7527,0.8258,2.0,21,15,6,11.93,7.0,5.0,0.5680952380952381,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,scored,2000.0,0.7513,0.8348,1.667,19,13,6,11.38,6.333333333333333,4.333333333333333,0.5989473684210527,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,toptw,4000.0,0.7532,0.8353,2.0,22,16,6,15.44,7.333333333333333,5.333333333333333,0.7018181818181818,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,scored,4000.0,0.733,0.7839,2.0,20,14,6,22.18,6.666666666666667,4.666666666666667,1.109,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,toptw,8000.0,0.7537,0.824,1.667,23,17,6,22.19,7.666666666666667,5.666666666666667,0.9647826086956522,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,scored,8000.0,0.733,0.7804,2.333,20,14,6,24.59,6.666666666666667,4.666666666666667,1.2295,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,toptw,16000.0,0.7537,0.824,1.667,23,17,6,22.19,7.666666666666667,5.666666666666667,0.9647826086956522,0,0,3,3
24,PAR,Culture Enthusiast,15,24,47,scored,16000.0,0.733,0.8,2.0,20,14,6,24.67,6.666666666666667,4.666666666666667,1.2335,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,baseline,,0.7568,0.8034,1.667,17,14,3,16.52,5.666666666666667,4.666666666666667,0.9717647058823529,0,0,0,3
24,PAR,Culture Enthusiast,18,24,47,toptw,1000.0,0.7532,0.8188,1.667,14,8,6,5.24,4.666666666666667,2.6666666666666665,0.3742857142857143,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,scored,1000.0,0.7513,0.8441,1.667,19,13,6,12.55,6.333333333333333,4.333333333333333,0.6605263157894737,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,toptw,2000.0,0.7527,0.8258,2.0,21,15,6,11.93,7.0,5.0,0.5680952380952381,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,scored,2000.0,0.7513,0.8348,1.667,19,13,6,11.38,6.333333333333333,4.333333333333333,0.5989473684210527,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,toptw,4000.0,0.7532,0.8193,1.667,22,16,6,18.21,7.333333333333333,5.333333333333333,0.8277272727272728,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,scored,4000.0,0.733,0.8463,2.0,20,14,6,17.88,6.666666666666667,4.666666666666667,0.8939999999999999,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,toptw,8000.0,0.7537,0.8286,2.0,23,17,6,23.26,7.666666666666667,5.666666666666667,1.011304347826087,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,scored,8000.0,0.733,0.7804,2.333,20,14,6,24.59,6.666666666666667,4.666666666666667,1.2295,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,toptw,16000.0,0.7537,0.824,1.667,23,17,6,19.75,7.666666666666667,5.666666666666667,0.8586956521739131,0,0,3,3
24,PAR,Culture Enthusiast,18,24,47,scored,16000.0,0.733,0.8,2.0,20,14,6,24.67,6.666666666666667,4.666666666666667,1.2335,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,baseline,,0.8305,1.0,1.0,12,6,6,3.27,4.0,2.0,0.2725,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,toptw,1000.0,0.8305,1.0,1.0,17,11,6,3.88,5.666666666666667,3.6666666666666665,0.22823529411764706,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,scored,1000.0,0.8305,0.5532,1.0,15,9,6,6.22,5.0,3.0,0.4146666666666667,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,toptw,2000.0,0.8305,1.0,1.0,17,11,6,3.82,5.666666666666667,3.6666666666666665,0.22470588235294117,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,scored,2000.0,0.8305,0.5624,1.0,15,9,6,7.69,5.0,3.0,0.5126666666666666,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,toptw,4000.0,0.8305,1.0,1.0,17,11,6,3.82,5.666666666666667,3.6666666666666665,0.22470588235294117,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,scored,4000.0,0.8305,0.6483,1.0,15,9,6,12.85,5.0,3.0,0.8566666666666667,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,toptw,8000.0,0.8305,1.0,1.0,17,11,6,4.01,5.666666666666667,3.6666666666666665,0.23588235294117646,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,scored,8000.0,0.8305,0.6913,1.0,14,8,6,16.03,4.666666666666667,2.6666666666666665,1.145,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,toptw,16000.0,0.8305,1.0,1.0,17,11,6,3.02,5.666666666666667,3.6666666666666665,0.1776470588235294,0,0,3,3
24,PAR,Nightlife Seeker,12,20,47,scored,16000.0,0.8305,0.6661,1.0,15,9,6,21.66,5.0,3.0,1.444,0,0,3,3
24,PAR,Nightlife Seeker,15,20,47,baseline,,0.8305,0.4909,1.0,14,11,3,10.43,4.666666666666667,3.6666666666666665,0.745,0,0,0,3
24,PAR,Nightlife Seeker,15,20,47,toptw,1000.0,0.8305,1.0,1.0,17,11,6,3.72,5.666666666666667,3.6666666666666665,0.2188235294117647,0,0,3,3
