top_k,arm,drop_penalty_m,trips,stops,sight_stops,food_stops,km,days,closed_violations,budget_overruns,days_with_meals,mean_pref_match,mean_quality,categories_per_day,stops_per_day,sight_per_day,km_per_stop
24,baseline,,24,447,347,100,707.06,72,0,0,28,0.752,0.704,1.681,6.208,4.819,1.582
24,scored,1000.0,24,396,252,144,192.95000000000002,72,0,0,72,0.761,0.694,1.5,5.5,3.5,0.487
24,scored,2000.0,24,428,284,144,301.46,72,0,0,72,0.756,0.741,1.653,5.944,3.944,0.704
24,scored,4000.0,24,438,294,144,384.93,72,0,0,72,0.754,0.751,1.792,6.083,4.083,0.879
24,scored,8000.0,24,442,298,144,518.71,72,0,0,72,0.751,0.733,1.806,6.139,4.139,1.174
24,scored,16000.0,24,445,301,144,589.65,72,0,0,72,0.75,0.722,1.778,6.181,4.181,1.325
24,toptw,1000.0,24,320,178,142,85.02,72,0,0,71,0.767,0.733,1.083,4.444,2.472,0.266
24,toptw,2000.0,24,469,325,144,278.39,72,0,0,72,0.76,0.702,1.625,6.514,4.514,0.594
24,toptw,4000.0,24,523,379,144,429.93,72,0,0,72,0.763,0.699,1.653,7.264,5.264,0.822
24,toptw,8000.0,24,542,398,144,537.94,72,0,0,72,0.763,0.7,1.694,7.528,5.528,0.993
24,toptw,16000.0,24,546,402,144,563.36,72,0,0,72,0.764,0.702,1.681,7.583,5.583,1.032
72,baseline,,24,563,449,114,593.5,72,0,0,42,0.584,0.732,2.861,7.819,6.236,1.054
72,scored,1000.0,24,573,429,144,186.63,72,0,0,72,0.63,0.733,2.889,7.958,5.958,0.326
72,scored,2000.0,24,613,469,144,302.94,72,0,0,72,0.621,0.772,3.014,8.514,6.514,0.494
72,scored,4000.0,24,630,486,144,415.96,72,0,0,72,0.619,0.767,3.0,8.75,6.75,0.66
72,scored,8000.0,24,629,485,144,521.98,72,0,0,72,0.622,0.776,2.917,8.736,6.736,0.83
72,scored,16000.0,24,627,483,144,609.21,72,0,0,72,0.625,0.793,2.958,8.708,6.708,0.972
72,toptw,1000.0,24,579,435,144,172.3,72,0,0,72,0.623,0.708,2.667,8.042,6.042,0.298
72,toptw,2000.0,24,656,512,144,268.28,72,0,0,72,0.622,0.719,2.819,9.111,7.111,0.409
72,toptw,4000.0,24,677,533,144,313.58,72,0,0,72,0.627,0.718,2.931,9.403,7.403,0.463
72,toptw,8000.0,24,682,538,144,337.59000000000003,72,0,0,72,0.627,0.72,3.0,9.472,7.472,0.495
72,toptw,16000.0,24,678,534,144,338.75,72,0,0,72,0.623,0.728,2.986,9.417,7.417,0.5
