top_k,city,archetype,budget_hours,pool,shortlist,shipped_stops,shortlist_ceiling_stops,ceiling_stops,ratio,ratio_vs_shortlist,shipped_km
24,PAR,Culture Enthusiast,12,71,36,24,29,29,0.8275862068965517,0.8275862068965517,23.24
24,PAR,Culture Enthusiast,15,71,36,27,30,30,0.9,0.9,26.09
24,PAR,Culture Enthusiast,18,71,36,27,30,30,0.9,0.9,28.75
24,PAR,Nightlife Seeker,12,66,31,15,18,18,0.8333333333333334,0.8333333333333334,11.66
24,PAR,Nightlife Seeker,15,66,31,18,18,18,1.0,1.0,13.84
24,PAR,Nightlife Seeker,18,66,31,18,18,18,1.0,1.0,13.84
24,PAR,Nature & Adventure,12,71,36,20,20,20,1.0,1.0,29.0
24,PAR,Nature & Adventure,15,71,36,20,20,20,1.0,1.0,27.6
24,PAR,Nature & Adventure,18,71,36,20,20,20,1.0,1.0,26.96
24,PAR,Family Traveler,12,65,30,20,24,24,0.8333333333333334,0.8333333333333334,26.99
24,PAR,Family Traveler,15,65,30,22,24,24,0.9166666666666666,0.9166666666666666,29.11
24,PAR,Family Traveler,18,65,30,22,24,24,0.9166666666666666,0.9166666666666666,29.76
24,BER,Culture Enthusiast,12,38,36,23,28,28,0.8214285714285714,0.8214285714285714,14.99
24,BER,Culture Enthusiast,15,38,36,27,29,29,0.9310344827586207,0.9310344827586207,26.79
24,BER,Culture Enthusiast,18,38,36,28,29,29,0.9655172413793104,0.9655172413793104,32.54
24,BER,Nightlife Seeker,12,30,28,15,18,18,0.8333333333333334,0.8333333333333334,3.18
24,BER,Nightlife Seeker,15,30,28,18,18,18,1.0,1.0,8.04
24,BER,Nightlife Seeker,18,30,28,18,18,18,1.0,1.0,8.04
24,BER,Nature & Adventure,12,38,36,19,20,20,0.95,0.95,28.01
24,BER,Nature & Adventure,15,38,36,20,20,20,1.0,1.0,29.14
24,BER,Nature & Adventure,18,38,36,20,20,20,1.0,1.0,30.65
24,BER,Family Traveler,12,31,29,20,22,22,0.9090909090909091,0.9090909090909091,25.0
24,BER,Family Traveler,15,31,29,21,22,22,0.9545454545454546,0.9545454545454546,32.57
24,BER,Family Traveler,18,31,29,21,22,22,0.9545454545454546,0.9545454545454546,27.79
72,PAR,Culture Enthusiast,12,119,78,29,35,33,0.8787878787878788,0.8285714285714286,15.7
72,PAR,Culture Enthusiast,15,119,78,34,41,39,0.8717948717948718,0.8292682926829268,21.35
72,PAR,Culture Enthusiast,18,119,78,35,42,41,0.8536585365853658,0.8333333333333334,36.31
72,PAR,Nightlife Seeker,12,88,53,19,21,21,0.9047619047619048,0.9047619047619048,14.28
72,PAR,Nightlife Seeker,15,88,53,22,24,24,0.9166666666666666,0.9166666666666666,16.7
72,PAR,Nightlife Seeker,18,88,53,22,24,24,0.9166666666666666,0.9166666666666666,16.7
72,PAR,Nature & Adventure,12,118,78,25,29,30,0.8333333333333334,0.8620689655172413,16.81
72,PAR,Nature & Adventure,15,118,78,30,32,33,0.9090909090909091,0.9375,23.26
72,PAR,Nature & Adventure,18,118,78,31,33,33,0.9393939393939394,0.9393939393939394,28.81
72,PAR,Family Traveler,12,102,67,24,26,26,0.9230769230769231,0.9230769230769231,14.57
72,PAR,Family Traveler,15,102,67,27,31,31,0.8709677419354839,0.8709677419354839,21.42
72,PAR,Family Traveler,18,102,67,31,36,36,0.8611111111111112,0.8611111111111112,30.05
72,BER,Culture Enthusiast,12,86,78,30,35,33,0.9090909090909091,0.8571428571428571,13.38
72,BER,Culture Enthusiast,15,86,78,35,42,40,0.875,0.8333333333333334,16.26
72,BER,Culture Enthusiast,18,86,78,40,47,46,0.8695652173913043,0.851063829787234,26.62
72,BER,Nightlife Seeker,12,71,69,20,22,22,0.9090909090909091,0.9090909090909091,7.03
72,BER,Nightlife Seeker,15,71,69,23,25,25,0.92,0.92,10.02
72,BER,Nightlife Seeker,18,71,69,25,28,28,0.8928571428571429,0.8928571428571429,12.08
72,BER,Nature & Adventure,12,85,78,26,29,30,0.8666666666666667,0.896551724137931,16.67
72,BER,Nature & Adventure,15,85,78,31,36,35,0.8857142857142857,0.8611111111111112,22.51
72,BER,Nature & Adventure,18,85,78,36,39,39,0.9230769230769231,0.9230769230769231,27.79
72,BER,Family Traveler,12,72,70,21,26,27,0.7777777777777778,0.8076923076923077,9.12
72,BER,Family Traveler,15,72,70,27,31,33,0.8181818181818182,0.8709677419354839,15.25
72,BER,Family Traveler,18,72,70,32,37,38,0.8421052631578947,0.8648648648648649,21.08
