city,archetype,pool,weights,mean_pref_match,mean_quality,categories_per_day,stops,sight_stops,food_stops,km,stops_per_day,sight_per_day,km_per_stop,closed_violations,budget_overruns,days_with_meals,n_days
PAR,Culture Enthusiast,retrieval,uniform,0.7247,0.7995,3.0,25,19,6,10.21,8.333333333333334,6.333333333333333,0.4084,0,0,3,3
PAR,Culture Enthusiast,retrieval,scored,0.7316,0.8394,2.667,25,19,6,16.87,8.333333333333334,6.333333333333333,0.6748000000000001,0,0,3,3
PAR,Culture Enthusiast,score,uniform,0.763,0.7907,3.0,26,20,6,7.95,8.666666666666666,6.666666666666667,0.3057692307692308,0,0,3,3
PAR,Culture Enthusiast,score,scored,0.7743,0.7357,3.0,24,18,6,9.99,8.0,6.0,0.41625,0,0,3,3
PAR,Nightlife Seeker,retrieval,uniform,0.6793,0.5842,2.0,20,14,6,9.05,6.666666666666667,4.666666666666667,0.4525,0,0,3,3
PAR,Nightlife Seeker,retrieval,scored,0.6676,0.7057,2.0,19,13,6,16.27,6.333333333333333,4.333333333333333,0.8563157894736841,0,0,3,3
PAR,Nightlife Seeker,score,uniform,0.5654,0.8145,3.0,21,15,6,13.14,7.0,5.0,0.6257142857142857,0,0,3,3
PAR,Nightlife Seeker,score,scored,0.5978,0.8171,2.667,21,15,6,19.99,7.0,5.0,0.951904761904762,0,0,3,3
PAR,Nature & Adventure,retrieval,uniform,0.6027,0.6642,2.0,26,20,6,10.79,8.666666666666666,6.666666666666667,0.41500000000000004,0,0,3,3
PAR,Nature & Adventure,retrieval,scored,0.6148,0.8354,2.333,22,16,6,24.58,7.333333333333333,5.333333333333333,1.1172727272727272,0,0,3,3
PAR,Nature & Adventure,score,uniform,0.6284,0.8348,2.667,25,19,6,10.83,8.333333333333334,6.333333333333333,0.43320000000000003,0,0,3,3
PAR,Nature & Adventure,score,scored,0.6112,0.8209,2.667,24,18,6,19.13,8.0,6.0,0.7970833333333333,0,0,3,3
PAR,Family Traveler,retrieval,uniform,0.5521,0.8339,3.667,25,19,6,11.44,8.333333333333334,6.333333333333333,0.45760000000000006,0,0,3,3
PAR,Family Traveler,retrieval,scored,0.5655,0.7606,3.0,24,18,6,19.51,8.0,6.0,0.8129166666666666,0,0,3,3
PAR,Family Traveler,score,uniform,0.5323,0.8094,3.333,27,21,6,9.57,9.0,7.0,0.35444444444444445,0,0,3,3
PAR,Family Traveler,score,scored,0.5787,0.806,3.0,25,19,6,13.38,8.333333333333334,6.333333333333333,0.5352,0,0,3,3
BER,Culture Enthusiast,retrieval,uniform,0.7393,0.7912,3.0,24,18,6,3.97,8.0,6.0,0.16541666666666666,0,0,3,3
BER,Culture Enthusiast,retrieval,scored,0.7503,0.8078,3.333,24,18,6,8.34,8.0,6.0,0.3475,0,0,3,3
BER,Culture Enthusiast,score,uniform,0.7581,0.7906,3.0,26,20,6,5.64,8.666666666666666,6.666666666666667,0.2169230769230769,0,0,3,3
BER,Culture Enthusiast,score,scored,0.7688,0.7615,3.0,24,18,6,8.81,8.0,6.0,0.3670833333333334,0,0,3,3
BER,Nightlife Seeker,retrieval,uniform,0.6894,0.5336,2.0,21,15,6,4.22,7.0,5.0,0.20095238095238094,0,0,3,3
BER,Nightlife Seeker,retrieval,scored,0.649,0.7019,2.0,20,14,6,13.93,6.666666666666667,4.666666666666667,0.6965,0,0,3,3
BER,Nightlife Seeker,score,uniform,0.5905,0.7097,3.0,23,17,6,5.68,7.666666666666667,5.666666666666667,0.24695652173913044,0,0,3,3
BER,Nightlife Seeker,score,scored,0.5383,0.8334,2.667,23,17,6,15.27,7.666666666666667,5.666666666666667,0.6639130434782609,0,0,3,3
BER,Nature & Adventure,retrieval,uniform,0.4058,0.7393,3.333,27,21,6,12.11,9.0,7.0,0.4485185185185185,0,0,3,3
BER,Nature & Adventure,retrieval,scored,0.6115,0.8244,3.0,23,17,6,22.53,7.666666666666667,5.666666666666667,0.9795652173913044,0,0,3,3
BER,Nature & Adventure,score,uniform,0.4894,0.7897,3.333,26,20,6,9.95,8.666666666666666,6.666666666666667,0.38269230769230766,0,0,3,3
BER,Nature & Adventure,score,scored,0.6309,0.817,2.667,23,17,6,21.44,7.666666666666667,5.666666666666667,0.9321739130434782,0,0,3,3
BER,Family Traveler,retrieval,uniform,0.5226,0.8299,3.667,24,18,6,7.65,8.0,6.0,0.31875000000000003,0,0,3,3
BER,Family Traveler,retrieval,scored,0.5201,0.8004,3.0,25,19,6,12.85,8.333333333333334,6.333333333333333,0.514,0,0,3,3
BER,Family Traveler,score,uniform,0.5179,0.7924,3.333,26,20,6,9.14,8.666666666666666,6.666666666666667,0.3515384615384616,0,0,3,3
BER,Family Traveler,score,scored,0.5269,0.7412,3.667,24,18,6,9.29,8.0,6.0,0.3870833333333333,0,0,3,3
